1,21,3.74784e+06,0.00748199
2,23,4.96403e+06,0.00990992
3,25,8.82638e+06,0.0176205
4,27,1.87626e+07,0.0374567
5,29,1.21393e+07,0.0242341
6,31,9.80857e+06,0.0195813
7,33,6.01506e+06,0.0120081
8,35,9.7591e+06,0.0194825
9,37,1.55595e+07,0.0310621
10,39,2.99003e+07,0.0596913
11,41,4.82182e+07,0.0962602
12,43,7.70608e+07,0.15384
13,45,7.87482e+07,0.157209
14,47,6.89836e+07,0.137715
15,49,3.9454e+07,0.0787639
16,51,2.22055e+07,0.0443299
17,53,1.42267e+07,0.0284014
18,55,1.22804e+07,0.0245158
19,57,1.26511e+07,0.0252559
